id,line_id,timestep,area_from,area_to,transmission
1,1,1,1,2,0.0
2,1,2,1,2,0.0
3,1,3,1,2,0.0
4,1,4,1,2,0.0
5,1,5,1,2,0.0
6,1,6,1,2,0.0
7,1,7,1,2,0.0
8,1,8,1,2,0.0
9,1,9,1,2,0.0
10,1,10,1,2,52.0
11,1,11,1,2,0.0
12,1,12,1,2,63.20000000000002
13,1,13,1,2,67.20000000000002
14,1,14,1,2,37.0
15,1,15,1,2,0.0
16,1,16,1,2,69.39999999999998
17,1,17,1,2,92.60000000000002
18,1,18,1,2,33.39393939393944
19,1,19,1,2,0.0
20,1,20,1,2,0.0
21,1,21,1,2,0.0
22,1,22,1,2,0.0
23,1,23,1,2,0.0
24,1,24,1,2,0.0
25,2,1,2,1,0.0
26,2,2,2,1,165.4185858585858
27,2,3,2,1,129.12141414141405
28,2,4,2,1,50.68434343434336
29,2,5,2,1,106.92949494949494
30,2,6,2,1,0.0
31,2,7,2,1,0.0
32,2,8,2,1,0.0
33,2,9,2,1,52.121212121212146
34,2,10,2,1,0.0
35,2,11,2,1,0.0
36,2,12,2,1,0.0
37,2,13,2,1,0.0
38,2,14,2,1,0.0
39,2,15,2,1,0.0
40,2,16,2,1,0.0
41,2,17,2,1,0.0
42,2,18,2,1,0.0
43,2,19,2,1,29.349999999999966
44,2,20,2,1,0.0
45,2,21,2,1,16.363636363636353
46,2,22,2,1,0.0
47,2,23,2,1,128.25999999999996
48,2,24,2,1,118.40797979797975
49,3,1,1,3,6122.150603015053
50,3,2,1,3,0.0
51,3,3,1,3,0.0
52,3,4,1,3,0.0
53,3,5,1,3,0.0
54,3,6,1,3,23.137474747474812
55,3,7,1,3,39.599999999999966
56,3,8,1,3,27.399999999999977
57,3,9,1,3,0.0
58,3,10,1,3,0.0
59,3,11,1,3,0.0
60,3,12,1,3,0.0
61,3,13,1,3,0.0
62,3,14,1,3,0.0
63,3,15,1,3,0.0
64,3,16,1,3,0.0
65,3,17,1,3,0.0
66,3,18,1,3,47.80606060606055
67,3,19,1,3,0.0
68,3,20,1,3,8.800000000000011
69,3,21,1,3,0.0
70,3,22,1,3,69.20000000000002
71,3,23,1,3,0.0
72,3,24,1,3,0.0
73,4,1,3,1,6372.879396984902
74,4,2,3,1,0.0
75,4,3,3,1,0.0
76,4,4,3,1,0.0
77,4,5,3,1,0.0
78,4,6,3,1,0.0
79,4,7,3,1,0.0
80,4,8,3,1,0.0
81,4,9,3,1,0.0
82,4,10,3,1,0.0
83,4,11,3,1,12.929292929292941
84,4,12,3,1,0.0
85,4,13,3,1,0.0
86,4,14,3,1,0.0
87,4,15,3,1,20.80808080808083
88,4,16,3,1,0.0
89,4,17,3,1,0.0
90,4,18,3,1,0.0
91,4,19,3,1,27.417676767676795
92,4,20,3,1,0.0
93,4,21,3,1,0.0
94,4,22,3,1,0.0
95,4,23,3,1,126.48747474747483
96,4,24,3,1,0.0
97,5,1,2,3,501.97
98,5,2,2,3,314.14141414141415
99,5,3,2,3,205.85858585858585
100,5,4,2,3,316.5656565656566
101,5,5,2,3,285.0505050505051
102,5,6,2,3,311.60999999999996
103,5,7,2,3,259.65
104,5,8,2,3,52.66999999999999
105,5,9,2,3,54.23878787878784
106,5,10,2,3,0.0
107,5,11,2,3,0.0
108,5,12,2,3,0.0
109,5,13,2,3,0.0
110,5,14,2,3,0.0
111,5,15,2,3,0.0
112,5,16,2,3,0.0
113,5,17,2,3,0.0
114,5,18,2,3,0.0
115,5,19,2,3,0.0
116,5,20,2,3,4.129999999999953
117,5,21,2,3,108.46636363636367
118,5,22,2,3,53.760000000000005
119,5,23,2,3,0.0
120,5,24,2,3,160.2020202020202
121,6,1,3,2,0.0
122,6,2,3,2,0.0
123,6,3,3,2,0.0
124,6,4,3,2,0.0
125,6,5,3,2,0.0
126,6,6,3,2,0.0
127,6,7,3,2,0.0
128,6,8,3,2,0.0
129,6,9,3,2,0.0
130,6,10,3,2,54.676767676767696
131,6,11,3,2,145.19191919191917
132,6,12,3,2,72.12323232323229
133,6,13,3,2,144.33535353535356
134,6,14,3,2,118.27272727272725
135,6,15,3,2,317.97979797979804
136,6,16,3,2,274.7717171717172
137,6,17,3,2,108.8444444444444
138,6,18,3,2,0.0
139,6,19,3,2,0.0
140,6,20,3,2,0.0
141,6,21,3,2,0.0
142,6,22,3,2,0.0
143,6,23,3,2,0.0
144,6,24,3,2,0.0
